suratptrid,Shape,From,To,SRTPointer,Con,CertCost,last_modifiedby,last_modified_date
83,4,5,5.99,5.00-5.99,Pear5.00-5.99,113.6,1,now()
84,6,0.5,0.54,0.50-0.54,Cushion0.50-0.54,86,1,now()
85,6,0.55,0.59,0.55-0.59,Cushion0.55-0.59,78.18181818,1,now()
86,6,0.6,0.69,0.60-0.69,Cushion0.60-0.69,71.66666667,1,now()
87,6,0.7,0.74,0.70-0.74,Cushion0.70-0.74,74.28571429,1,now()
88,6,0.75,0.79,0.75-0.79,Cushion0.75-0.79,69.33333333,1,now()
89,6,0.8,0.89,0.80-0.89,Cushion0.80-0.89,65,1,now()
90,6,0.9,0.94,0.90-0.94,Cushion0.90-0.94,57.77777778,1,now()
91,6,0.95,0.99,0.95-0.99,Cushion0.95-0.99,54.73684211,1,now()
92,6,1,1.1,1.00-1.10,Cushion1.00-1.10,122.9733333,1,now()
93,6,1.11,1.19,1.11-1.19,Cushion1.11-1.19,113.5135135,1,now()
94,6,1.2,1.39,1.20-1.39,Cushion1.20-1.39,109.1666667,1,now()
95,6,1.4,1.44,1.40-1.44,Cushion1.40-1.44,93.57142857,1,now()
96,6,1.45,1.49,1.45-1.49,Cushion1.45-1.49,90.34482759,1,now()
97,6,1.5,1.69,1.50-1.69,Cushion1.50-1.69,98,1,now()
98,6,1.7,1.89,1.70-1.89,Cushion1.70-1.89,86.47058824,1,now()
99,6,1.9,1.94,1.90-1.94,Cushion1.90-1.94,77.36842105,1,now()
100,6,1.95,1.99,1.95-1.99,Cushion1.95-1.99,75.38461538,1,now()
101,6,2,2.2,2.00-2.20,Cushion2.00-2.20,102.5,1,now()
102,6,2.21,2.39,2.21-2.39,Cushion2.21-2.39,92.760181,1,now()
103,6,2.4,2.49,2.40-2.49,Cushion2.40-2.49,85.41666667,1,now()
104,6,2.5,2.69,2.50-2.69,Cushion2.50-2.69,82,1,now()
105,6,2.7,2.89,2.70-2.89,Cushion2.70-2.89,75.92592593,1,now()
106,6,2.9,2.94,2.90-2.94,Cushion2.90-2.94,70.68965517,1,now()
107,6,2.95,2.99,2.95-2.99,Cushion2.95-2.99,69.49152542,1,now()
108,6,3,3.99,3.00-3.99,Cushion3.00-3.99,99.66666667,1,now()
109,6,4,4.99,4.00-4.99,Cushion4.00-4.99,100,1,now()
110,6,5,5.99,5.00-5.99,Cushion5.00-5.99,113.6,1,now()
111,8,0.3,0.34,0.30-0.34,BEZEL PRINCESS0.30-0.34,133.3333333,1,now()
112,8,0.35,0.39,0.35-0.39,BEZEL PRINCESS0.35-0.39,114.2857143,1,now()
113,8,0.4,0.44,0.40-0.44,BEZEL PRINCESS0.40-0.44,105,1,now()
114,8,0.45,0.474,0.45-0.474,BEZEL PRINCESS0.45-0.474,93.33333333,1,now()
115,8,0.475,0.49,0.475-0.49,BEZEL PRINCESS0.475-0.49,88.42105263,1,now()
116,8,0.5,0.54,0.50-0.54,BEZEL PRINCESS0.50-0.54,86,1,now()
117,8,0.55,0.57,0.55-0.57,BEZEL PRINCESS0.55-0.57,78.18181818,1,now()
118,8,0.58,0.59,0.58-0.59,BEZEL PRINCESS0.58-0.59,74.13793103,1,now()
119,8,0.6,0.69,0.60-0.69,BEZEL PRINCESS0.60-0.69,71.66666667,1,now()
120,8,0.7,0.724,0.70-0.724,BEZEL PRINCESS0.70-0.724,74.28571429,1,now()
121,8,0.725,0.79,0.725-0.79,BEZEL PRINCESS0.725-0.79,71.72413793,1,now()
122,8,0.8,0.82,0.80-0.82,BEZEL PRINCESS0.80-0.82,65,1,now()
123,8,0.83,0.89,0.83-0.89,BEZEL PRINCESS0.83-0.89,62.65060241,1,now()
124,8,0.9,0.94,0.90-0.94,BEZEL PRINCESS0.90-0.94,57.77777778,1,now()
125,8,0.95,0.97,0.95-0.97,BEZEL PRINCESS0.95-0.97,54.73684211,1,now()
126,8,0.98,0.99,0.98-0.99,BEZEL PRINCESS0.98-0.99,53.06122449,1,now()
127,8,1,1.04,1.00-1.04,BEZEL PRINCESS1.00-1.04,126,1,now()
128,8,1.05,1.1,1.05-1.10,BEZEL PRINCESS1.05-1.10,120,1,now()
129,8,1.11,1.19,1.11-1.19,BEZEL PRINCESS1.11-1.19,113.5135135,1,now()
130,8,1.2,1.39,1.20-1.39,BEZEL PRINCESS1.20-1.39,109.1666667,1,now()
131,8,1.4,1.44,1.40-1.44,BEZEL PRINCESS1.40-1.44,93.57142857,1,now()
132,8,1.45,1.49,1.45-1.49,BEZEL PRINCESS1.45-1.49,90.34482759,1,now()
133,8,1.5,1.69,1.50-1.69,BEZEL PRINCESS1.50-1.69,98,1,now()
134,8,1.7,1.79,1.70-1.79,BEZEL PRINCESS1.70-1.79,86.47058824,1,now()
135,8,1.8,1.94,1.80-1.94,BEZEL PRINCESS1.80-1.94,81.66666667,1,now()
136,8,1.95,1.99,1.95-1.99,BEZEL PRINCESS1.95-1.99,75.38461538,1,now()
